rank,name,team,pos,adp
1,Jahmyr Gibbs,DET,RB,1.5
2,Bijan Robinson,ATL,RB,2.3
3,Puka Nacua,LAR,WR,2.9
4,Ja'Marr Chase,CIN,WR,3.9
5,Jaxon Smith-Njigba,SEA,WR,5.5
6,Amon-Ra St. Brown,DET,WR,6.4
7,Christian McCaffrey,SF,RB,6.6
8,Jonathan Taylor,IND,RB,7.4
9,De'Von Achane,MIA,RB,10.3
10,CeeDee Lamb,DAL,WR,10.4
11,Justin Jefferson,MIN,WR,11.8
12,Drake London,ATL,WR,11.9
13,James Cook III,BUF,RB,12.3
14,Chase Brown,CIN,RB,13.1
15,Rashee Rice,KC,WR,15.9
16,Derrick Henry,BAL,RB,16.7
17,A.J. Brown,NE,WR,17.4
18,Saquon Barkley,PHI,RB,18.8
19,Chris Olave,NO,WR,18.9
20,George Pickens,DAL,WR,20.3
21,Ashton Jeanty,LV,RB,21.0
22,Kenneth Walker,KC,RB,21.2
23,Nico Collins,HOU,WR,21.2
24,Omarion Hampton,LAC,RB,22.6
25,Zay Flowers,BAL,WR,26.0
26,Garrett Wilson,NYJ,WR,26.7
27,Malik Nabers,NYG,WR,26.9
28,Jeremiyah Love,ARI,RB,27.2
29,Trey McBride,ARI,TE,29.1
30,DeVonta Smith,PHI,WR,29.7
31,Tetairoa McMillan,CAR,WR,31.1
32,Josh Jacobs,GB,RB,31.6
33,Kyren Williams,LAR,RB,31.8
34,Breece Hall,NYJ,RB,33.5
35,Josh Allen,BUF,QB,34.1
36,Brock Bowers,LV,TE,35.1
37,Emeka Egbuka,TB,WR,35.1
38,Javonte Williams,DAL,RB,36.8
39,Tee Higgins,CIN,WR,36.8
40,Travis Etienne Jr.,NO,RB,37.3
41,Ladd McConkey,LAC,WR,38.0
42,Cam Skattebo,NYG,RB,39.6
43,Davante Adams,LAR,WR,42.1
44,D'Andre Swift,CHI,RB,45.0
45,Jaylen Waddle,DEN,WR,45.1
46,Jameson Williams,DET,WR,45.3
47,Bucky Irving,TB,RB,45.5
48,DJ Moore,BUF,WR,48.0
49,Terry McLaurin,WAS,WR,48.1
50,Quinshon Judkins,CLE,RB,50.7
51,Drake Maye,NE,QB,52.2
52,Bhayshul Tuten,JAX,RB,52.9
53,Rome Odunze,CHI,WR,54.0
54,Mike Evans,SF,WR,55.1
55,Luther Burden III,CHI,WR,55.4
56,Colston Loveland,CHI,TE,55.9
57,Lamar Jackson,BAL,QB,56.8
58,Joe Burrow,CIN,QB,56.8
59,David Montgomery,HOU,RB,57.5
